t 1 2 3 4 jF0004 jxH0402 jyH0402 jV0300 erroc errol erro dt rep
2.2100000000e-01 7.61905 10 10 7.61905 5.2381 5.2381 -0.238095 -2.14286 -12 -12 -12 -2 0
2.3100000000e-01 7.61905 10 10 7.61905 5.2381 5.2381 -0.238095 -2.14286 -12 -12 -12 -2 0
2.4100000000e-01 7.61905 10 10 7.61905 5.2381 5.2381 -0.238095 -2.14286 -12 -12 -12 -2 0
2.5100000000e-01 7.61905 10 10 7.61905 5.2381 5.2381 -0.238095 -2.14286 -12 -12 -12 -2 0
2.6100000000e-01 7.61905 10 10 7.61905 5.2381 5.2381 -0.238095 -2.14286 -12 -12 -12 -2 0
2.7100000000e-01 7.61905 10 10 7.61905 5.2381 5.2381 -0.238095 -2.14286 -12 -12 -12 -2 0
2.8100000000e-01 7.61905 10 10 7.61905 5.2381 5.2381 -0.238095 -2.14286 -12 -12 -12 -2 0
2.9100000000e-01 7.61905 10 10 7.61905 5.2381 5.2381 -0.238095 -2.14286 -12 -12 -12 -2 0
3.0100000000e-01 7.61905 10 10 7.61905 5.2381 5.2381 -0.238095 -2.14286 -12 -12 -12 -2 0
3.1100000000e-01 7.61905 10 10 7.61905 5.2381 5.2381 -0.238095 -2.14286 -12 -12 -12 -2 0
3.2100000000e-01 7.61905 10 10 7.61905 5.2381 5.2381 -0.238095 -2.14286 -12 -12 -12 -2 0
3.3100000000e-01 7.61905 10 10 7.61905 5.2381 5.2381 -0.238095 -2.14286 -12 -12 -12 -2 0
3.4100000000e-01 7.61905 10 10 7.61905 5.2381 5.2381 -0.238095 -2.14286 -12 -12 -12 -2 0
3.5100000000e-01 7.61905 10 10 7.61905 5.2381 5.2381 -0.238095 -2.14286 -12 -12 -12 -2 0
3.6100000000e-01 7.61905 10 10 7.61905 5.2381 5.2381 -0.238095 -2.14286 -12 -12 -12 -2 0
3.7100000000e-01 7.61905 10 10 7.61905 5.2381 5.2381 -0.238095 -2.14286 -12 -12 -12 -2 0
3.8100000000e-01 7.61905 10 10 7.61905 5.2381 5.2381 -0.238095 -2.14286 -12 -12 -12 -2 0
3.9100000000e-01 7.61905 10 10 7.61905 5.2381 5.2381 -0.238095 -2.14286 -12 -12 -12 -2 0
4.0100000000e-01 7.61905 10 10 7.61905 5.2381 5.2381 -0.238095 -2.14286 -12 -12 -12 -2 0
4.1100000000e-01 7.61905 10 10 7.61905 5.2381 5.2381 -0.238095 -2.14286 -12 -12 -12 -2 0
4.2100000000e-01 7.61905 10 10 7.61905 5.2381 5.2381 -0.238095 -2.14286 -12 -12 -12 -2 0
4.3100000000e-01 7.61905 10 10 7.61905 5.2381 5.2381 -0.238095 -2.14286 -12 -12 -12 -2 0
4.4100000000e-01 7.61905 10 10 7.61905 5.2381 5.2381 -0.238095 -2.14286 -12 -12 -12 -2 0
4.5100000000e-01 7.61905 10 10 7.61905 5.2381 5.2381 -0.238095 -2.14286 -12 -12 -12 -2 0
4.6100000000e-01 7.61905 10 10 7.61905 5.2381 5.2381 -0.238095 -2.14286 -12 -12 -12 -2 0
4.7100000000e-01 7.61905 10 10 7.61905 5.2381 5.2381 -0.238095 -2.14286 -12 -12 -12 -2 0
4.8100000000e-01 7.61905 10 10 7.61905 5.2381 5.2381 -0.238095 -2.14286 -12 -12 -12 -2 0
4.9100000000e-01 7.61905 10 10 7.61905 5.2381 5.2381 -0.238095 -2.14286 -12 -12 -12 -2 0
